date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source
2020-02-25,Brazil,SP,São Paulo/SP,3550308,0,0,1,1,0.00000,0.00816,0.00000,SES
2020-02-25,Brazil,TOTAL,TOTAL,0,0,0,1,1,0.00000,0.00048,0.00000,
2020-02-28,Brazil,SP,São Paulo/SP,3550308,0,0,1,2,0.00000,0.01632,0.00000,SES
2020-02-28,Brazil,TOTAL,TOTAL,0,0,0,1,2,0.00000,0.00095,0.00000,
2020-03-04,Brazil,SP,São Paulo/SP,3550308,0,0,1,3,0.00000,0.02449,0.00000,SES
2020-03-04,Brazil,TOTAL,TOTAL,0,0,0,1,3,0.00000,0.00143,0.00000,
2020-03-05,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1,1,0.00000,0.54226,0.00000,SES
2020-03-05,Brazil,SP,São Paulo/SP,3550308,0,0,3,6,0.00000,0.04897,0.00000,SES
2020-03-05,Brazil,TOTAL,TOTAL,0,0,0,4,7,0.00000,0.00333,0.00000,
2020-03-06,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,1,1,0.00000,0.02488,0.00000,SES
2020-03-06,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,4,4,0.00000,0.00871,0.00000,SES
2020-03-06,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,1,0.00000,0.16264,0.00000,SES
2020-03-06,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,1,0.00000,0.01488,0.00000,SES
2020-03-06,Brazil,TOTAL,TOTAL,0,0,0,7,14,0.00000,0.00666,0.00000,
2020-03-07,Brazil,DF,Brasília/DF,5300108,0,0,1,1,0.00000,0.03316,0.00000,SES
2020-03-07,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,2,0.00000,0.32527,0.00000,SES
2020-03-07,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1,1,0.00000,0.71712,0.00000,SES
2020-03-07,Brazil,SP,São Paulo/SP,3550308,0,0,6,12,0.00000,0.09794,0.00000,SES
2020-03-07,Brazil,TOTAL,TOTAL,0,0,0,9,19,0.00000,0.00904,0.00000,
2020-03-08,Brazil,MG,Divinópolis/MG,3122306,0,0,1,1,0.00000,0.41976,0.00000,SES
2020-03-08,Brazil,AL,Maceió/AL,2704302,0,0,1,1,0.00000,0.09814,0.00000,SES
2020-03-08,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,2,0.00000,0.02977,0.00000,SES
2020-03-08,Brazil,SP,São Paulo/SP,3550308,0,0,3,15,0.00000,0.12243,0.00000,SES
2020-03-08,Brazil,TOTAL,TOTAL,0,0,0,6,25,0.00000,0.01190,0.00000,
2020-03-10,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,5,5,0.00000,0.02896,0.00000,SES
2020-03-10,Brazil,RS,Campo Bom/RS,4303905,0,0,1,1,0.00000,1.49898,0.00000,SES
